timeseq,forvar,forvarN,ind_fe,ind_fr,yyyy,qq,tm
37,"3tb","3tb, 3 month t-bills interest rate",,,1969,1,1969
37,"aaa","aaa, interest rate",,,1969,1,1969
37,"c","c, consumption",,,1969,1,1969
37,"cpi","cpi, cpi inflation",,,1969,1,1969
37,"gf","gf, federal government spending",,,1969,1,1969
37,"gs","gs, state government spending",,,1969,1,1969
37,"gy","gy (growth rate of output)",-1.29307,-.3549266,1969,1,1969
37,"hs","hs (housing starts)",-.059052,-.0139555,1969,1,1969
37,"ip","ip (industrial production)",.620034,-.2990753,1969,1,1969
37,"nri","nri, non-residential investment",,,1969,1,1969
37,"pi","pi (inflation)",2.01972,.1502373,1969,1,1969
37,"ri","ri, residential investment",,,1969,1,1969
37,"ue","ue (unemployment rate)",-.271858,-.1839113,1969,1,1969
38,"3tb","3tb, 3 month t-bills interest rate",,,1969,2,1969.25
38,"aaa","aaa, interest rate",,,1969,2,1969.25
38,"c","c, consumption",,,1969,2,1969.25
38,"cpi","cpi, cpi inflation",,,1969,2,1969.25
38,"gf","gf, federal government spending",,,1969,2,1969.25
38,"gs","gs, state government spending",,,1969,2,1969.25
38,"gy","gy (growth rate of output)",-2.46535,-.5632253,1969,2,1969.25
38,"hs","hs (housing starts)",-.135169,-.020072,1969,2,1969.25
38,"ip","ip (industrial production)",-2.94728,-.8487491,1969,2,1969.25
38,"nri","nri, non-residential investment",,,1969,2,1969.25
38,"pi","pi (inflation)",2.53303,.2565998,1969,2,1969.25
38,"ri","ri, residential investment",,,1969,2,1969.25
38,"ue","ue (unemployment rate)",-.025694,-.1878416,1969,2,1969.25
39,"3tb","3tb, 3 month t-bills interest rate",,,1969,3,1969.5
39,"aaa","aaa, interest rate",,,1969,3,1969.5
39,"c","c, consumption",,,1969,3,1969.5
39,"cpi","cpi, cpi inflation",,,1969,3,1969.5
39,"gf","gf, federal government spending",,,1969,3,1969.5
39,"gs","gs, state government spending",,,1969,3,1969.5
39,"gy","gy (growth rate of output)",-1.8236,-1.068098,1969,3,1969.5
39,"hs","hs (housing starts)",-.083116,-.1198017,1969,3,1969.5
39,"ip","ip (industrial production)",-3.19946,-.4563514,1969,3,1969.5
39,"nri","nri, non-residential investment",,,1969,3,1969.5
39,"pi","pi (inflation)",1.69285,.931646,1969,3,1969.5
39,"ri","ri, residential investment",,,1969,3,1969.5
39,"ue","ue (unemployment rate)",.17247,.0046297,1969,3,1969.5
40,"3tb","3tb, 3 month t-bills interest rate",,,1969,4,1969.75
40,"aaa","aaa, interest rate",,,1969,4,1969.75
40,"c","c, consumption",,,1969,4,1969.75
40,"cpi","cpi, cpi inflation",,,1969,4,1969.75
40,"gf","gf, federal government spending",,,1969,4,1969.75
40,"gs","gs, state government spending",,,1969,4,1969.75
40,"gy","gy (growth rate of output)",-2.53241,-1.635943,1969,4,1969.75
40,"hs","hs (housing starts)",.037885,-.1191937,1969,4,1969.75
40,"ip","ip (industrial production)",-5.21574,-2.257889,1969,4,1969.75
40,"nri","nri, non-residential investment",,,1969,4,1969.75
40,"pi","pi (inflation)",1.48375,.9851089,1969,4,1969.75
40,"ri","ri, residential investment",,,1969,4,1969.75
40,"ue","ue (unemployment rate)",.469455,.2208441,1969,4,1969.75
41,"3tb","3tb, 3 month t-bills interest rate",,,1970,1,1970
41,"aaa","aaa, interest rate",,,1970,1,1970
41,"c","c, consumption",,,1970,1,1970
41,"cpi","cpi, cpi inflation",,,1970,1,1970
41,"gf","gf, federal government spending",,,1970,1,1970
41,"gs","gs, state government spending",,,1970,1,1970
41,"gy","gy (growth rate of output)",-2.73993,-.1521487,1970,1,1970
41,"hs","hs (housing starts)",.085072,-.0492611,1970,1,1970
41,"ip","ip (industrial production)",-6.33548,-.1543154,1970,1,1970
41,"nri","nri, non-residential investment",,,1970,1,1970
41,"pi","pi (inflation)",1.79859,.0247217,1970,1,1970
41,"ri","ri, residential investment",,,1970,1,1970
41,"ue","ue (unemployment rate)",.700144,-.0454468,1970,1,1970
42,"3tb","3tb, 3 month t-bills interest rate",,,1970,2,1970.25
42,"aaa","aaa, interest rate",,,1970,2,1970.25
42,"c","c, consumption",,,1970,2,1970.25
42,"cpi","cpi, cpi inflation",,,1970,2,1970.25
42,"gf","gf, federal government spending",,,1970,2,1970.25
42,"gs","gs, state government spending",,,1970,2,1970.25
42,"gy","gy (growth rate of output)",-.317817,-.7698707,1970,2,1970.25
42,"hs","hs (housing starts)",.165142,-.0093052,1970,2,1970.25
42,"ip","ip (industrial production)",-2.9124,-.9002325,1970,2,1970.25
42,"nri","nri, non-residential investment",,,1970,2,1970.25
42,"pi","pi (inflation)",1.05633,.8480868,1970,2,1970.25
42,"ri","ri, residential investment",,,1970,2,1970.25
42,"ue","ue (unemployment rate)",.86381,.3383142,1970,2,1970.25
43,"3tb","3tb, 3 month t-bills interest rate",,,1970,3,1970.5
43,"aaa","aaa, interest rate",,,1970,3,1970.5
43,"c","c, consumption",,,1970,3,1970.5
43,"cpi","cpi, cpi inflation",,,1970,3,1970.5
43,"gf","gf, federal government spending",,,1970,3,1970.5
43,"gs","gs, state government spending",,,1970,3,1970.5
43,"gy","gy (growth rate of output)",-.874966,.2051586,1970,3,1970.5
43,"hs","hs (housing starts)",.202775,.0131643,1970,3,1970.5
43,"ip","ip (industrial production)",-2.73804,-.5572231,1970,3,1970.5
43,"nri","nri, non-residential investment",,,1970,3,1970.5
43,"pi","pi (inflation)",1.4379,-.3844827,1970,3,1970.5
43,"ri","ri, residential investment",,,1970,3,1970.5
43,"ue","ue (unemployment rate)",.78465,.3794674,1970,3,1970.5
44,"3tb","3tb, 3 month t-bills interest rate",,,1970,4,1970.75
44,"aaa","aaa, interest rate",,,1970,4,1970.75
44,"c","c, consumption",,,1970,4,1970.75
44,"cpi","cpi, cpi inflation",,,1970,4,1970.75
44,"gf","gf, federal government spending",,,1970,4,1970.75
44,"gs","gs, state government spending",,,1970,4,1970.75
44,"gy","gy (growth rate of output)",.316148,-.4796507,1970,4,1970.75
44,"hs","hs (housing starts)",.181379,.0631049,1970,4,1970.75
44,"ip","ip (industrial production)",-1.1161,-.3702381,1970,4,1970.75
44,"nri","nri, non-residential investment",,,1970,4,1970.75
44,"pi","pi (inflation)",.449182,.3832105,1970,4,1970.75
44,"ri","ri, residential investment",,,1970,4,1970.75
44,"ue","ue (unemployment rate)",.352754,.6541212,1970,4,1970.75
45,"3tb","3tb, 3 month t-bills interest rate",,,1971,1,1971
45,"aaa","aaa, interest rate",,,1971,1,1971
45,"c","c, consumption",,,1971,1,1971
45,"cpi","cpi, cpi inflation",,,1971,1,1971
45,"gf","gf, federal government spending",,,1971,1,1971
45,"gs","gs, state government spending",,,1971,1,1971
45,"gy","gy (growth rate of output)",.860257,.4732227,1971,1,1971
45,"hs","hs (housing starts)",.124267,.1000355,1971,1,1971
45,"ip","ip (industrial production)",.696121,.9770997,1971,1,1971
45,"nri","nri, non-residential investment",,,1971,1,1971
45,"pi","pi (inflation)",.177183,.2502584,1971,1,1971
45,"ri","ri, residential investment",,,1971,1,1971
45,"ue","ue (unemployment rate)",.193333,.2464172,1971,1,1971
46,"3tb","3tb, 3 month t-bills interest rate",,,1971,2,1971.25
46,"aaa","aaa, interest rate",,,1971,2,1971.25
46,"c","c, consumption",,,1971,2,1971.25
46,"cpi","cpi, cpi inflation",,,1971,2,1971.25
46,"gf","gf, federal government spending",,,1971,2,1971.25
46,"gs","gs, state government spending",,,1971,2,1971.25
46,"gy","gy (growth rate of output)",1.02162,.379234,1971,2,1971.25
46,"hs","hs (housing starts)",.143458,.0061967,1971,2,1971.25
46,"ip","ip (industrial production)",1.10105,1.049748,1971,2,1971.25
46,"nri","nri, non-residential investment",,,1971,2,1971.25
46,"pi","pi (inflation)",-.503314,.1422778,1971,2,1971.25
46,"ri","ri, residential investment",,,1971,2,1971.25
